paralog1_uniprot,paralog2_uniprot
Ppp1r3a,Ppp1r3b
Ppp1r3a,Ppp1r3e
Ppp1r3a,Ppp1r3d
Ppp1r3a,Ppp1r3c
Ppp1r3g,Ppp1r3b
Ppp1r3g,Ppp1r3e
Ppp1r3g,Ppp1r3d
Ppp1r3g,Ppp1r3c
Ppp1r3b,Ppp1r3e
Ppp1r3b,Ppp1r3d
Ppp1r3b,Ppp1r3c
Ppp1r3e,Ppp1r3d
Ppp1r3e,Ppp1r3c
Ppp1r3d,Ppp1r3c
Fam228a,Fam228b
Plekho2,Plekho1
Cd79al,Cd79a
Cd79al,Cd79b
Cd79a,Cd79b
Lyve1,Cd44
Abca4,Abca7
Abca4,Abca12
Abca4,Abca13
Abca4,Abca1
Abca4,Abca9
Abca4,Abca6
Abca4,Abca8a
Abca4,Abca8
Abca4,Abca5
Abca4,Abca2
Abca4,Abca16
Abca4,Abca15
Abca4,Abca14
Abca4,Abca17
Abca4,Abca3
Abca7,Abca12
Abca7,Abca13
Abca7,Abca1
Abca7,Abca9
Abca7,Abca6
Abca7,Abca8a
Abca7,Abca8
Abca7,Abca5
Abca7,Abca2
Abca7,Abca16
Abca7,Abca15
Abca7,Abca14
Abca7,Abca17
Abca7,Abca3
Abca12,Abca13
Abca12,Abca1
Abca12,Abca9
Abca12,Abca6
Abca12,Abca8a
Abca12,Abca8
Abca12,Abca5
Abca12,Abca2
Abca12,Abca16
Abca12,Abca15
Abca12,Abca14
Abca12,Abca17
Abca12,Abca3
Abca13,Abca1
Abca13,Abca9
Abca13,Abca6
Abca13,Abca8a
Abca13,Abca8
Abca13,Abca5
Abca13,Abca2
Abca13,Abca16
Abca13,Abca15
Abca13,Abca14
Abca13,Abca17
Abca13,Abca3
Abca1,Abca9
Abca1,Abca6
Abca1,Abca8a
Abca1,Abca8
Abca1,Abca5
Abca1,Abca2
Abca1,Abca16
Abca1,Abca15
Abca1,Abca14
Abca1,Abca17
Abca1,Abca3
Abca9,Abca6
Abca9,Abca8a
Abca9,Abca8
Abca9,Abca5
Abca9,Abca2
Abca9,Abca16
Abca9,Abca15
Abca9,Abca14
Abca9,Abca17
Abca9,Abca3
Abca6,Abca8a
Abca6,Abca8
Abca6,Abca5
Abca6,Abca2
Abca6,Abca16
Abca6,Abca15
Abca6,Abca14
Abca6,Abca17
Abca6,Abca3
Abca8a,Abca8
Abca8a,Abca5
Abca8a,Abca2
Abca8a,Abca16
Abca8a,Abca15
Abca8a,Abca14
Abca8a,Abca17
Abca8a,Abca3
Abca8,Abca5
Abca8,Abca2
Abca8,Abca16
Abca8,Abca15
Abca8,Abca14
Abca8,Abca17
Abca8,Abca3
Abca5,Abca2
Abca5,Abca16
Abca5,Abca15
Abca5,Abca14
Abca5,Abca17
Abca5,Abca3
Abca2,Abca16
Abca2,Abca15
Abca2,Abca14
Abca2,Abca17
Abca2,Abca3
Abca16,Abca15
Abca16,Abca14
Abca16,Abca17
Abca16,Abca3
Abca15,Abca14
Abca15,Abca17
Abca15,Abca3
Abca14,Abca17
Abca14,Abca3
Abca17,Abca3
Gnb5,Gnb2
Gnb5,Gnb1
Gnb5,Gnb3
Gnb5,Gnb4
Gnb2,Gnb1
Gnb2,Gnb3
Gnb2,Gnb4
Gnb1,Gnb3
Gnb1,Gnb4
Gnb3,Gnb4
Psip1,Hdgfl2
Psip1,Hdgf
Psip1,Hdgf
Hdgfl2,Hdgf
Hdgfl2,Hdgf
Hdgf,Hdgf
Cdh11,Cdh19
Cdh11,Cdh7
Cdh11,Cdh20
Cdh11,Cdh9
Cdh11,Cdh6
Cdh11,Cdh10
Cdh11,Cdh24
Cdh11,Cdh5
Cdh11,Cdh18
Cdh11,Dchs1
Cdh11,Cdh12
Cdh11,Cdh22
Cdh11,Cdh8
Cdh11,Cdh17
Cdh11,Cdh15
Cdh11,Cdh26
Cdh11,Cdh2
Cdh11,Cdh4
Cdh11,Cdh13
Cdh11,Cdh3
Cdh11,Cdh1
Cdh19,Cdh7
Cdh19,Cdh20
Cdh19,Cdh9
Cdh19,Cdh6
Cdh19,Cdh10
Cdh19,Cdh24
Cdh19,Cdh5
Cdh19,Cdh18
Cdh19,Dchs1
Cdh19,Cdh12
Cdh19,Cdh22
Cdh19,Cdh8
Cdh19,Cdh17
Cdh19,Cdh15
Cdh19,Cdh26
Cdh19,Cdh2
Cdh19,Cdh4
Cdh19,Cdh13
Cdh19,Cdh3
Cdh19,Cdh1
Cdh7,Cdh20
Cdh7,Cdh9
Cdh7,Cdh6
Cdh7,Cdh10
Cdh7,Cdh24
Cdh7,Cdh5
Cdh7,Cdh18
Cdh7,Dchs1
Cdh7,Cdh12
Cdh7,Cdh22
Cdh7,Cdh8
Cdh7,Cdh17
Cdh7,Cdh15
Cdh7,Cdh26
Cdh7,Cdh2
Cdh7,Cdh4
Cdh7,Cdh13
Cdh7,Cdh3
Cdh7,Cdh1
Cdh20,Cdh9
Cdh20,Cdh6
Cdh20,Cdh10
Cdh20,Cdh24
Cdh20,Cdh5
Cdh20,Cdh18
Cdh20,Dchs1
Cdh20,Cdh12
Cdh20,Cdh22
Cdh20,Cdh8
Cdh20,Cdh17
Cdh20,Cdh15
Cdh20,Cdh26
Cdh20,Cdh2
Cdh20,Cdh4
Cdh20,Cdh13
Cdh20,Cdh3
Cdh20,Cdh1
Cdh9,Cdh6
Cdh9,Cdh10
Cdh9,Cdh24
Cdh9,Cdh5
Cdh9,Cdh18
Cdh9,Dchs1
Cdh9,Cdh12
Cdh9,Cdh22
Cdh9,Cdh8
Cdh9,Cdh17
Cdh9,Cdh15
Cdh9,Cdh26
Cdh9,Cdh2
Cdh9,Cdh4
Cdh9,Cdh13
Cdh9,Cdh3
Cdh9,Cdh1
Cdh6,Cdh10
Cdh6,Cdh24
Cdh6,Cdh5
Cdh6,Cdh18
Cdh6,Dchs1
Cdh6,Cdh12
Cdh6,Cdh22
Cdh6,Cdh8
Cdh6,Cdh17
Cdh6,Cdh15
Cdh6,Cdh26
Cdh6,Cdh2
Cdh6,Cdh4
Cdh6,Cdh13
Cdh6,Cdh3
Cdh6,Cdh1
Cdh10,Cdh24
Cdh10,Cdh5
Cdh10,Cdh18
Cdh10,Dchs1
Cdh10,Cdh12
Cdh10,Cdh22
Cdh10,Cdh8
Cdh10,Cdh17
Cdh10,Cdh15
Cdh10,Cdh26
Cdh10,Cdh2
Cdh10,Cdh4
Cdh10,Cdh13
Cdh10,Cdh3
Cdh10,Cdh1
Cdh24,Cdh5
Cdh24,Cdh18
Cdh24,Dchs1
Cdh24,Cdh12
Cdh24,Cdh22
Cdh24,Cdh8
Cdh24,Cdh17
Cdh24,Cdh15
Cdh24,Cdh26
Cdh24,Cdh2
Cdh24,Cdh4
Cdh24,Cdh13
Cdh24,Cdh3
Cdh24,Cdh1
Cdh5,Cdh18
Cdh5,Dchs1
Cdh5,Cdh12
Cdh5,Cdh22
Cdh5,Cdh8
Cdh5,Cdh17
Cdh5,Cdh15
Cdh5,Cdh26
Cdh5,Cdh2
Cdh5,Cdh4
Cdh5,Cdh13
Cdh5,Cdh3
Cdh5,Cdh1
Cdh18,Dchs1
Cdh18,Cdh12
Cdh18,Cdh22
Cdh18,Cdh8
Cdh18,Cdh17
Cdh18,Cdh15
Cdh18,Cdh26
Cdh18,Cdh2
Cdh18,Cdh4
Cdh18,Cdh13
Cdh18,Cdh3
Cdh18,Cdh1
Dchs1,Cdh12
Dchs1,Cdh22
Dchs1,Cdh8
Dchs1,Cdh17
Dchs1,Cdh15
Dchs1,Cdh26
Dchs1,Cdh2
Dchs1,Cdh4
Dchs1,Cdh13
Dchs1,Cdh3
Dchs1,Cdh1
Cdh12,Cdh22
Cdh12,Cdh8
Cdh12,Cdh17
Cdh12,Cdh15
Cdh12,Cdh26
Cdh12,Cdh2
Cdh12,Cdh4
Cdh12,Cdh13
Cdh12,Cdh3
Cdh12,Cdh1
Cdh22,Cdh8
Cdh22,Cdh17
Cdh22,Cdh15
Cdh22,Cdh26
Cdh22,Cdh2
Cdh22,Cdh4
Cdh22,Cdh13
Cdh22,Cdh3
Cdh22,Cdh1
Cdh8,Cdh17
Cdh8,Cdh15
Cdh8,Cdh26
Cdh8,Cdh2
Cdh8,Cdh4
Cdh8,Cdh13
Cdh8,Cdh3
Cdh8,Cdh1
Cdh17,Cdh15
Cdh17,Cdh26
Cdh17,Cdh2
Cdh17,Cdh4
Cdh17,Cdh13
Cdh17,Cdh3
Cdh17,Cdh1
Cdh15,Cdh26
Cdh15,Cdh2
Cdh15,Cdh4
Cdh15,Cdh13
Cdh15,Cdh3
Cdh15,Cdh1
Cdh26,Cdh2
Cdh26,Cdh4
Cdh26,Cdh13
Cdh26,Cdh3
Cdh26,Cdh1
Cdh2,Cdh4
Cdh2,Cdh13
Cdh2,Cdh3
Cdh2,Cdh1
Cdh4,Cdh13
Cdh4,Cdh3
Cdh4,Cdh1
Cdh13,Cdh3
Cdh13,Cdh1
Cdh3,Cdh1
Fam160b2,Fam160b1
Fam160b2,Fam160a2
Fam160b1,Fam160a2
Ppp1ca,Ppp1cc
Ppp1ca,Ppp1cb
Ppp1cc,Ppp1cb
Gmeb2,Gmeb1
Lef1,Tcf7
Lef1,Tcf7l1
Lef1,Tcf7l2
Tcf7,Tcf7l1
Tcf7,Tcf7l2
Tcf7l1,Tcf7l2
Tacc2,Tacc3
Tacc2,Tacc1
Tacc3,Tacc1
Ocel1,Marveld2
Ocel1,Ocln
Ocel1,Ell3
Ocel1,Ell
Ocel1,LOC689396
Ocel1,Ell2
Marveld2,Ocln
Marveld2,Ell3
Marveld2,Ell
Marveld2,LOC689396
Marveld2,Ell2
Ocln,Ell3
Ocln,Ell
Ocln,LOC689396
Ocln,Ell2
Ell3,Ell
Ell3,LOC689396
Ell3,Ell2
Ell,LOC689396
Ell,Ell2
LOC689396,Ell2
Paqr3,Paqr7
Paqr3,Paqr8
Paqr3,Paqr6
Paqr3,Paqr5
Paqr3,Paqr4
Paqr3,Paqr9
Paqr3,Adipor1
Paqr3,Adipor2
Paqr3,Mmd
Paqr3,Mmd2
Paqr7,Paqr8
Paqr7,Paqr6
Paqr7,Paqr5
Paqr7,Paqr4
Paqr7,Paqr9
Paqr7,Adipor1
Paqr7,Adipor2
Paqr7,Mmd
Paqr7,Mmd2
Paqr8,Paqr6
Paqr8,Paqr5
Paqr8,Paqr4
Paqr8,Paqr9
Paqr8,Adipor1
Paqr8,Adipor2
Paqr8,Mmd
Paqr8,Mmd2
Paqr6,Paqr5
Paqr6,Paqr4
Paqr6,Paqr9
Paqr6,Adipor1
Paqr6,Adipor2
Paqr6,Mmd
Paqr6,Mmd2
Paqr5,Paqr4
Paqr5,Paqr9
Paqr5,Adipor1
Paqr5,Adipor2
Paqr5,Mmd
Paqr5,Mmd2
Paqr4,Paqr9
Paqr4,Adipor1
Paqr4,Adipor2
Paqr4,Mmd
Paqr4,Mmd2
Paqr9,Adipor1
Paqr9,Adipor2
Paqr9,Mmd
Paqr9,Mmd2
Adipor1,Adipor2
Adipor1,Mmd
Adipor1,Mmd2
Adipor2,Mmd
Adipor2,Mmd2
Mmd,Mmd2
L1cam,Robo1
Aplp1,Aplp2
Aplp1,App
Aplp2,App
Clcn4,Clcn5
Clcn4,Clcn3
Clcn5,Clcn3
Kcnu1,Kcnma1
Kcnu1,Kcnt2
Kcnu1,Kcnt1
Kcnma1,Kcnt2
Kcnma1,Kcnt1
Kcnt2,Kcnt1
Fam102b,Fam102a
Gml,LOC100910068
Irgc,Ifi47
Irgc,Igtp
Irgc,Irgm
Irgc,MGC105567
Irgc,RGD1305184
Irgc,MGC108823
Irgc,LOC103694226
Irgc,RGD1309362
Irgc,RGD1559575
Ifi47,Igtp
Ifi47,Irgm
Ifi47,MGC105567
Ifi47,RGD1305184
Ifi47,MGC108823
Ifi47,LOC103694226
Ifi47,RGD1309362
Ifi47,RGD1559575
Igtp,Irgm
Igtp,MGC105567
Igtp,RGD1305184
Igtp,MGC108823
Igtp,LOC103694226
Igtp,RGD1309362
Igtp,RGD1559575
Irgm,MGC105567
Irgm,RGD1305184
Irgm,MGC108823
Irgm,LOC103694226
Irgm,RGD1309362
Irgm,RGD1559575
MGC105567,RGD1305184
MGC105567,MGC108823
MGC105567,LOC103694226
MGC105567,RGD1309362
MGC105567,RGD1559575
RGD1305184,MGC108823
RGD1305184,LOC103694226
RGD1305184,RGD1309362
RGD1305184,RGD1559575
MGC108823,LOC103694226
MGC108823,RGD1309362
MGC108823,RGD1559575
LOC103694226,RGD1309362
LOC103694226,RGD1559575
RGD1309362,RGD1559575
Fbxo9,Fbxo48
Itprid2,Itprid1
LOC100360573,RGD1561102
LOC100360573,Rps12
RGD1561102,Rps12
LOC684466,Faim
Wipi1,Wipi2
Wipi1,Wdr45
Wipi1,Wdr45b
Wipi2,Wdr45
Wipi2,Wdr45b
Wdr45,Wdr45b
Theg,Thegl
Stk39,Oxsr1
Stk39,Map4k5
Stk39,Map4k1
Stk39,Map4k2
Stk39,Map4k3
Stk39,Slk
Stk39,Stk10
Stk39,Stk26
Stk39,Stk24
Stk39,Stk25
Oxsr1,Map4k5
Oxsr1,Map4k1
Oxsr1,Map4k2
Oxsr1,Map4k3
Oxsr1,Slk
Oxsr1,Stk10
Oxsr1,Stk26
Oxsr1,Stk24
Oxsr1,Stk25
Map4k5,Map4k1
Map4k5,Map4k2
Map4k5,Map4k3
Map4k5,Slk
Map4k5,Stk10
Map4k5,Stk26
Map4k5,Stk24
Map4k5,Stk25
Map4k1,Map4k2
Map4k1,Map4k3
Map4k1,Slk
Map4k1,Stk10
Map4k1,Stk26
Map4k1,Stk24
Map4k1,Stk25
Map4k2,Map4k3
Map4k2,Slk
Map4k2,Stk10
Map4k2,Stk26
Map4k2,Stk24
Map4k2,Stk25
Map4k3,Slk
Map4k3,Stk10
Map4k3,Stk26
Map4k3,Stk24
Map4k3,Stk25
Slk,Stk10
Slk,Stk26
Slk,Stk24
Slk,Stk25
Stk10,Stk26
Stk10,Stk24
Stk10,Stk25
Stk26,Stk24
Stk26,Stk25
Stk24,Stk25
Hivep1,Hivep2
Hivep1,Hivep3
Hivep2,Hivep3
LOC360933,Rtraf
Klhdc1,Klhdc2
Akap17b,Akap17a
Magmas-ps1,Pam16
C1galt1c1,C1galt1
Heatr4,Dohh
Gpat4,Gpat3
Gpat4,Lpcat4
Gpat4,Lpcat2b
Gpat4,Lpcat2
Gpat4,Lpcat1
Gpat3,Lpcat4
Gpat3,Lpcat2b
Gpat3,Lpcat2
Gpat3,Lpcat1
Lpcat4,Lpcat2b
Lpcat4,Lpcat2
Lpcat4,Lpcat1
Lpcat2b,Lpcat2
Lpcat2b,Lpcat1
Lpcat2,Lpcat1
Hsbp1l1,Hsbp1
Foxr2,Foxr1
Steap1,Steap2
Steap1,Steap4
Steap1,Steap3
Steap2,Steap4
Steap2,Steap3
Steap4,Steap3
Wwtr1,Yap1
Ripply3,Ripply2
Ripply3,Ripply1
Ripply2,Ripply1
LSM5,Lsm5
Ebf2,Ebf1
Ebf2,Ebf4
Ebf2,Ebf3
Ebf1,Ebf4
Ebf1,Ebf3
Ebf4,Ebf3
Sparcl1,Sparc
Sparcl1,Spock3
Sparcl1,Spock2
Sparc,Spock3
Sparc,Spock2
Spock3,Spock2
Hebp1,Hebp2
Sulf2,Sulf1
Sulf2,Gns
Sulf1,Gns
Pklr,Pkm
Pklr,LOC100362738
Pkm,LOC100362738
St6gal2,St6gal1
Spag6,Spag6l
Nwd2,Aamp
Gpr137,Gpr137b
Gpr137,Gpr137c
Gpr137b,Gpr137c
Aga,Tasp1
Aga,Asrgl1
Tasp1,Asrgl1
Sel1l2,Sel1l
Myo3a,Myo3b
Yars1,Aimp1
Cdipt,Ptdss1
Cdipt,Ptdss2
Ptdss1,Ptdss2
Nucb1,Nucb2
Ric8b,Ric8a
Chtf18,Atad5
Chtf18,Rfc1
Atad5,Rfc1
Tardbp,Hnrnpd
Tardbp,Hnrnpdl
Tardbp,Hnrnpab
Hnrnpd,Hnrnpdl
Hnrnpd,Hnrnpab
Hnrnpdl,Hnrnpab
Rnf7,Rbx1
Rnf7,Anapc11
Rbx1,Anapc11
Bpifb2,Bpifa6
Bpifb2,Bpifb3
Bpifb2,Bpifb5
Bpifb2,Bpifb4
Bpifa6,Bpifb3
Bpifa6,Bpifb5
Bpifa6,Bpifb4
Bpifb3,Bpifb5
Bpifb3,Bpifb4
Bpifb5,Bpifb4
Gxylt2,Gxylt1
Traf1,Traf2
Traf1,Traf5
Traf1,Traf3
Traf1,Traf6
Traf1,Traf4
Traf2,Traf5
Traf2,Traf3
Traf2,Traf6
Traf2,Traf4
Traf5,Traf3
Traf5,Traf6
Traf5,Traf4
Traf3,Traf6
Traf3,Traf4
Traf6,Traf4
Frmd7,Farp1
Frmd7,Farp2
Farp1,Farp2
Cckbr,Ntsr2
Cckbr,Ntsr1
Cckbr,Ghsr
Cckbr,Nmur2
Cckbr,Nmur1
Cckbr,Gpr19
Ntsr2,Ntsr1
Ntsr2,Ghsr
Ntsr2,Nmur2
Ntsr2,Nmur1
Ntsr2,Gpr19
Ntsr1,Ghsr
Ntsr1,Nmur2
Ntsr1,Nmur1
Ntsr1,Gpr19
Ghsr,Nmur2
Ghsr,Nmur1
Ghsr,Gpr19
Nmur2,Nmur1
Nmur2,Gpr19
Nmur1,Gpr19
Tmem52b,Tmem52
Afap1,Afap1l1
Afap1,Afap1l2
Afap1l1,Afap1l2
Esco2,Esco1
Flot1,Flot2
Abhd17a,Abhd17b
Abhd17a,Abhd17c
Abhd17a,Abhd12
Abhd17a,Abhd16b
Abhd17a,Abhd16a
Abhd17a,Abhd13
Abhd17b,Abhd17c
Abhd17b,Abhd12
Abhd17b,Abhd16b
Abhd17b,Abhd16a
Abhd17b,Abhd13
Abhd17c,Abhd12
Abhd17c,Abhd16b
Abhd17c,Abhd16a
Abhd17c,Abhd13
Abhd12,Abhd16b
Abhd12,Abhd16a
Abhd12,Abhd13
Abhd16b,Abhd16a
Abhd16b,Abhd13
Abhd16a,Abhd13
Nrp2,Nrp1
Nrp2,Dcbld2
Nrp1,Dcbld2
Ccdc27,Fhad1
Cib3,Cib2
Cib3,Cib4
Cib3,Cib1
Cib2,Cib4
Cib2,Cib1
Cib4,Cib1
Ppp1r9b,Samd14
Ppp1r9b,Ppp1r9a
Samd14,Ppp1r9a
Krtap27-1,LOC100912272
Krtap27-1,Krtap26-1
Krtap27-1,Krtap11-1
Krtap27-1,Krtap15-1
Krtap27-1,Krtap14
Krtap27-1,LOC100363287
Krtap27-1,Krtap13-2
Krtap27-1,Krtap14l
Krtap27-1,LOC100363136
Krtap27-1,Krtap13-1
LOC100912272,Krtap26-1
LOC100912272,Krtap11-1
LOC100912272,Krtap15-1
LOC100912272,Krtap14
LOC100912272,LOC100363287
LOC100912272,Krtap13-2
LOC100912272,Krtap14l
LOC100912272,LOC100363136
LOC100912272,Krtap13-1
Krtap26-1,Krtap11-1
Krtap26-1,Krtap15-1
Krtap26-1,Krtap14
Krtap26-1,LOC100363287
Krtap26-1,Krtap13-2
Krtap26-1,Krtap14l
Krtap26-1,LOC100363136
Krtap26-1,Krtap13-1
Krtap11-1,Krtap15-1
Krtap11-1,Krtap14
Krtap11-1,LOC100363287
Krtap11-1,Krtap13-2
Krtap11-1,Krtap14l
Krtap11-1,LOC100363136
Krtap11-1,Krtap13-1
Krtap15-1,Krtap14
Krtap15-1,LOC100363287
Krtap15-1,Krtap13-2
Krtap15-1,Krtap14l
Krtap15-1,LOC100363136
Krtap15-1,Krtap13-1
Krtap14,LOC100363287
Krtap14,Krtap13-2
Krtap14,Krtap14l
Krtap14,LOC100363136
Krtap14,Krtap13-1
LOC100363287,Krtap13-2
LOC100363287,Krtap14l
LOC100363287,LOC100363136
LOC100363287,Krtap13-1
Krtap13-2,Krtap14l
Krtap13-2,LOC100363136
Krtap13-2,Krtap13-1
Krtap14l,LOC100363136
Krtap14l,Krtap13-1
LOC100363136,Krtap13-1
Ccpg1os,RGD1306233
Gmnc,Mcidas
Gmnc,Gmnn
Mcidas,Gmnn
Fbxo39,Fbxo31
Setd6,Setd3
Setd6,LOC100910833
Setd6,Setd4
Setd3,LOC100910833
Setd3,Setd4
LOC100910833,Setd4
Rhbdd3,Rhbdd2
Rhbdd3,Rhbdd1
Rhbdd2,Rhbdd1
Pdzk1ip1,Smim24
Phc2,Phc1
Phc2,Samd7
Phc2,Samd11
Phc2,Phc3
Phc2,Samd1
Phc2,Sfmbt1
Phc2,Sfmbt2
Phc2,L3mbtl2
Phc2,Mbtd1
Phc2,Scml2
Phc2,Scml4
Phc2,Scmh1
Phc2,L3mbtl1
Phc2,L3mbtl3
Phc1,Samd7
Phc1,Samd11
Phc1,Phc3
Phc1,Samd1
Phc1,Sfmbt1
Phc1,Sfmbt2
Phc1,L3mbtl2
Phc1,Mbtd1
Phc1,Scml2
Phc1,Scml4
Phc1,Scmh1
Phc1,L3mbtl1
Phc1,L3mbtl3
Samd7,Samd11
Samd7,Phc3
Samd7,Samd1
Samd7,Sfmbt1
Samd7,Sfmbt2
Samd7,L3mbtl2
Samd7,Mbtd1
Samd7,Scml2
Samd7,Scml4
Samd7,Scmh1
Samd7,L3mbtl1
Samd7,L3mbtl3
Samd11,Phc3
Samd11,Samd1
Samd11,Sfmbt1
Samd11,Sfmbt2
Samd11,L3mbtl2
Samd11,Mbtd1
Samd11,Scml2
Samd11,Scml4
Samd11,Scmh1
Samd11,L3mbtl1
Samd11,L3mbtl3
Phc3,Samd1
Phc3,Sfmbt1
Phc3,Sfmbt2
Phc3,L3mbtl2
Phc3,Mbtd1
Phc3,Scml2
Phc3,Scml4
Phc3,Scmh1
Phc3,L3mbtl1
Phc3,L3mbtl3
Samd1,Sfmbt1
Samd1,Sfmbt2
Samd1,L3mbtl2
Samd1,Mbtd1
Samd1,Scml2
Samd1,Scml4
Samd1,Scmh1
Samd1,L3mbtl1
Samd1,L3mbtl3
Sfmbt1,Sfmbt2
Sfmbt1,L3mbtl2
Sfmbt1,Mbtd1
Sfmbt1,Scml2
Sfmbt1,Scml4
Sfmbt1,Scmh1
Sfmbt1,L3mbtl1
Sfmbt1,L3mbtl3
Sfmbt2,L3mbtl2
Sfmbt2,Mbtd1
Sfmbt2,Scml2
Sfmbt2,Scml4
Sfmbt2,Scmh1
Sfmbt2,L3mbtl1
Sfmbt2,L3mbtl3
L3mbtl2,Mbtd1
L3mbtl2,Scml2
L3mbtl2,Scml4
L3mbtl2,Scmh1
L3mbtl2,L3mbtl1
L3mbtl2,L3mbtl3
Mbtd1,Scml2
Mbtd1,Scml4
Mbtd1,Scmh1
Mbtd1,L3mbtl1
Mbtd1,L3mbtl3
Scml2,Scml4
Scml2,Scmh1
Scml2,L3mbtl1
Scml2,L3mbtl3
Scml4,Scmh1
Scml4,L3mbtl1
Scml4,L3mbtl3
Scmh1,L3mbtl1
Scmh1,L3mbtl3
L3mbtl1,L3mbtl3
Parvg,Parva
Parvg,Parvb
Parva,Parvb
Scpep1,Ctsa
Scpep1,CPVL
Ctsa,CPVL
Pirt,Tmem100
Eif4a3,Ddx25
Eif4a3,Ddx19b
Eif4a3,Ddx4
Eif4a3,Ddx3
Eif4a3,Ddx3y
Eif4a3,Ddx3x
Eif4a3,Ddx5
Eif4a3,Ddx17
Eif4a3,Ddx59
Eif4a3,Ddx43
Eif4a3,Ddx39a
Eif4a3,Ddx39b
Eif4a3,Ddx41
Eif4a3,Ddx50
Eif4a3,LOC685025
Eif4a3,Ddx21
Eif4a3,Ddx20
Eif4a3,Ddx23
Ddx25,Ddx19b
Ddx25,Ddx4
Ddx25,Ddx3
Ddx25,Ddx3y
Ddx25,Ddx3x
Ddx25,Ddx5
Ddx25,Ddx17
Ddx25,Ddx59
Ddx25,Ddx43
Ddx25,Ddx39a
Ddx25,Ddx39b
Ddx25,Ddx41
Ddx25,Ddx50
Ddx25,LOC685025
Ddx25,Ddx21
Ddx25,Ddx20
Ddx25,Ddx23
Ddx19b,Ddx4
Ddx19b,Ddx3
Ddx19b,Ddx3y
Ddx19b,Ddx3x
Ddx19b,Ddx5
Ddx19b,Ddx17
Ddx19b,Ddx59
Ddx19b,Ddx43
Ddx19b,Ddx39a
Ddx19b,Ddx39b
Ddx19b,Ddx41
Ddx19b,Ddx50
Ddx19b,LOC685025
Ddx19b,Ddx21
Ddx19b,Ddx20
Ddx19b,Ddx23
Ddx4,Ddx3
Ddx4,Ddx3y
Ddx4,Ddx3x
Ddx4,Ddx5
Ddx4,Ddx17
Ddx4,Ddx59
Ddx4,Ddx43
Ddx4,Ddx39a
Ddx4,Ddx39b
Ddx4,Ddx41
Ddx4,Ddx50
Ddx4,LOC685025
Ddx4,Ddx21
Ddx4,Ddx20
Ddx4,Ddx23
Ddx3,Ddx3y
Ddx3,Ddx3x
Ddx3,Ddx5
Ddx3,Ddx17
Ddx3,Ddx59
Ddx3,Ddx43
Ddx3,Ddx39a
Ddx3,Ddx39b
Ddx3,Ddx41
Ddx3,Ddx50
Ddx3,LOC685025
Ddx3,Ddx21
Ddx3,Ddx20
Ddx3,Ddx23
Ddx3y,Ddx3x
Ddx3y,Ddx5
Ddx3y,Ddx17
